CustomerKey,Frequency,Recency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Title,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,DateFirstPurchase,CommuteDistance,Age
11012,5,443,89.38600000000001,4,4,2,10,Loyal,,Lauren,Walker,1998-08-21 10:33:36,Married,Female,lauren41@adventure-works.com,110000.00000000001,2,0,Bachelors,Management,Y,2023-03-15,1-2 Miles,27
11013,5,345,125.35600000000001,5,4,3,12,Loyal,,Ian,Jenkins,1999-04-11 14:24:00,Married,Male,ian47@adventure-works.com,110000.00000000001,2,0,Bachelors,Management,Y,2023-04-12,0-1 Miles,27
11014,6,611,152.29500000000002,2,4,3,9,Others,,Sydney,Bennett,1992-08-14 05:45:36,Single,Female,sydney23@adventure-works.com,110000.00000000001,3,0,Bachelors,Management,N,2023-03-22,1-2 Miles,33
11015,3,713,2751.067,1,2,4,7,Big Spenders,,Chloe,Young,2005-02-24 14:24:00,Single,Female,chloe23@adventure-works.com,33000.0,0,0,Partial College,Skilled Manual,N,2023-01-17,5-10 Miles,21
11016,3,691,2565.508,1,2,4,7,Big Spenders,,Wyatt,Hill,2005-05-05 04:48:00,Married,Male,wyatt32@adventure-works.com,33000.0,0,0,Partial College,Skilled Manual,Y,2023-02-08,5-10 Miles,21
11017,4,444,7077.741,4,3,5,12,Most Valuable,,Shannon,Wang,1964-12-06 08:38:24,Single,Female,shannon1@adventure-works.com,22000.0,4,0,High School,Skilled Manual,Y,2021-01-10,5-10 Miles,61
11018,7,434,7186.608,4,4,5,13,Most Valuable,,Clarence,Rai,1971-08-22 06:43:12,Single,Male,clarence32@adventure-works.com,33000.0,2,0,Partial College,Clerical,Y,2021-01-15,5-10 Miles,54
11019,33,354,970.97,5,4,3,12,Loyal,,Luke,Lal,2004-01-07 11:31:12,Single,Male,luke18@adventure-works.com,44000.0,0,0,High School,Skilled Manual,N,2023-02-11,5-10 Miles,22
11020,2,733,2548.667,1,1,4,6,Big Spenders,,Jordan,King,2004-08-23 00:00:00,Single,Male,jordan73@adventure-works.com,44000.0,0,0,High School,Skilled Manual,N,2022-12-28,1-2 Miles,21
11021,3,708,2609.156,1,2,4,7,Big Spenders,,Destiny,Wilson,2004-08-03 06:43:12,Single,Female,destiny7@adventure-works.com,44000.0,0,0,Partial College,Skilled Manual,N,2023-01-22,1-2 Miles,22
11022,2,711,2554.508,1,1,4,6,Big Spenders,,Ethan,Zhang,2004-09-17 12:28:48,Married,Male,ethan20@adventure-works.com,44000.0,0,0,Partial College,Skilled Manual,Y,2023-01-19,5-10 Miles,21
11023,6,352,134.464,5,4,3,12,Loyal,,Seth,Edwards,2004-09-16 08:38:24,Married,Male,seth46@adventure-works.com,44000.0,0,0,Partial College,Skilled Manual,Y,2023-02-16,1-2 Miles,21
11024,6,524,62.161,3,4,2,9,Others,,Russell,Xie,2004-08-19 12:28:48,Married,Male,russell7@adventure-works.com,66000.0,0,0,Partial College,Skilled Manual,Y,2023-06-26,5-10 Miles,21
11025,6,433,7234.4800000000005,4,4,5,13,Most Valuable,,Alejandro,Beck,1966-08-30 13:26:24,Married,Male,alejandro45@adventure-works.com,11000.0,2,1,Partial High School,Clerical,Y,2021-01-04,1-2 Miles,59
11026,7,443,7233.369,4,4,5,13,Most Valuable,,Harold,Sai,1966-12-25 17:16:48,Single,Male,harold3@adventure-works.com,33000.0,2,0,Partial College,Clerical,N,2021-01-21,1-2 Miles,59
11027,9,434,7250.727,4,4,5,13,Most Valuable,,Jessie,Zhao,1967-10-09 09:36:00,Married,Male,jessie16@adventure-works.com,33000.0,2,0,Partial College,Clerical,Y,2021-01-14,5-10 Miles,58
11028,5,451,7122.082,4,4,5,13,Most Valuable,,Jill,Jimenez,1967-01-04 00:00:00,Married,Female,jill13@adventure-works.com,33000.0,2,0,Partial College,Clerical,Y,2021-01-24,1-2 Miles,59
11029,7,416,7221.819,4,4,5,13,Most Valuable,,Jimmy,Moreno,1967-10-25 15:21:36,Married,Male,jimmy9@adventure-works.com,33000.0,2,0,Partial College,Clerical,Y,2021-01-17,1-2 Miles,58
11030,4,418,7118.452,4,3,5,12,Most Valuable,,Bethany,Yuan,1974-05-22 20:09:36,Married,Female,bethany10@adventure-works.com,11000.0,2,1,Partial High School,Clerical,Y,2021-02-03,1-2 Miles,52
11031,6,414,7126.46,4,4,5,13,Most Valuable,,Theresa,Ramos,1968-08-03 16:19:12,Married,Female,theresa13@adventure-works.com,22000.0,4,0,High School,Skilled Manual,Y,2021-01-30,1-2 Miles,58
11032,10,419,7178.116,4,4,5,13,Most Valuable,,Denise,Stone,1968-05-12 03:50:24,Married,Female,denise10@adventure-works.com,22000.0,4,0,High School,Skilled Manual,Y,2021-02-16,1-2 Miles,58
11033,7,422,7144.819,4,4,5,13,Most Valuable,,Jaime,Nath,1975-01-24 22:04:48,Married,Male,jaime41@adventure-works.com,22000.0,4,0,High School,Skilled Manual,Y,2021-02-13,5-10 Miles,51
11034,4,417,7140.452,4,3,5,12,Most Valuable,,Ebony,Gonzalez,1968-05-21 10:33:36,Married,Female,ebony19@adventure-works.com,22000.0,4,0,High School,Skilled Manual,Y,2021-01-30,5-10 Miles,58
11035,5,412,7096.441,4,4,5,13,Most Valuable,,Wendy,Dominguez,1969-03-07 10:33:36,Married,Female,wendy12@adventure-works.com,11000.0,2,1,Partial High School,Clerical,Y,2021-02-04,1-2 Miles,57
11036,2,709,2590.478,1,1,4,6,Big Spenders,,Jennifer,Russell,2004-12-04 05:45:36,Married,Female,jennifer93@adventure-works.com,66000.0,0,0,Partial College,Skilled Manual,Y,2023-01-21,1-2 Miles,21
11037,7,711,2611.6530000000002,1,4,4,9,Big Spenders,,Chloe,Garcia,2003-09-13 11:31:12,Single,Female,chloe27@adventure-works.com,44000.0,0,0,Partial High School,Clerical,N,2023-01-19,5-10 Miles,22
11038,3,415,7081.063,4,2,5,11,Big Spenders,,Diana,Hernandez,1969-04-08 22:04:48,Married,Female,diana2@adventure-works.com,11000.0,2,1,Partial High School,Clerical,Y,2021-02-05,5-10 Miles,57
11039,9,416,7300.238,4,4,5,13,Most Valuable,,Marc,Martin,1970-02-14 23:02:24,Married,Male,marc3@adventure-works.com,33000.0,3,0,Partial College,Clerical,Y,2021-02-05,5-10 Miles,56
11040,3,638,2586.056,1,2,4,7,Big Spenders,,Jesse,Murphy,2003-04-29 14:24:00,Married,Male,jesse15@adventure-works.com,33000.0,0,0,Partial College,Skilled Manual,Y,2023-04-02,1-2 Miles,23
11041,3,717,2618.517,1,2,4,7,Big Spenders,,Amanda,Carter,2003-07-26 18:14:24,Married,Female,amanda53@adventure-works.com,66000.0,0,0,Partial College,Skilled Manual,Y,2023-01-13,1-2 Miles,23
11042,3,441,3423.563,4,2,4,10,Big Spenders,,Megan,Sanchez,2003-03-03 18:14:24,Married,Female,megan28@adventure-works.com,77000.0,0,0,Partial College,Skilled Manual,Y,2023-01-20,0-1 Miles,23
11043,3,501,52.778000000000006,3,2,2,7,At Risk,,Nathan,Simmons,2001-08-29 18:14:24,Married,Male,nathan11@adventure-works.com,66000.0,0,0,Partial College,Skilled Manual,Y,2023-05-07,5-10 Miles,24
11044,7,419,7166.83,4,4,5,13,Most Valuable,,Adam,Flores,1970-08-17 05:45:36,Married,Male,adam10@adventure-works.com,22000.0,2,1,Partial High School,Clerical,Y,2021-02-26,1-2 Miles,55
11045,4,429,126.45600000000002,4,3,3,10,Others,,Leonard,Nara,1971-10-08 20:09:36,Single,Male,leonard18@adventure-works.com,33000.0,3,0,High School,Skilled Manual,N,2023-04-09,1-2 Miles,54
11046,6,415,7278.491,4,4,5,13,Most Valuable,,Christine,Yuan,1971-08-02 13:26:24,Married,Female,christine4@adventure-works.com,33000.0,3,0,High School,Skilled Manual,Y,2021-02-04,5-10 Miles,55
11047,4,408,7240.563,5,3,5,13,Most Valuable,,Jaclyn,Lu,1971-07-06 21:07:12,Married,Female,jaclyn12@adventure-works.com,33000.0,3,0,High School,Skilled Manual,N,2021-02-01,1-2 Miles,55
11048,8,372,7148.064,5,4,5,14,Most Valuable,,Jeremy,Powell,1972-05-12 18:14:24,Married,Male,jeremy26@adventure-works.com,33000.0,3,0,High School,Skilled Manual,Y,2021-02-08,5-10 Miles,54
11049,5,429,89.38600000000001,4,4,2,10,Loyal,,Carol,Rai,2006-10-05 17:16:48,Single,Female,carol8@adventure-works.com,44000.0,0,0,Partial High School,Clerical,Y,2023-03-08,5-10 Miles,19
11050,6,408,5508.03,5,4,5,14,Most Valuable,,Alan,Zheng,1973-04-13 00:00:00,Married,Male,alan23@adventure-works.com,33000.0,3,0,High School,Skilled Manual,Y,2021-02-18,5-10 Miles,53
11051,5,365,136.34500000000003,5,4,3,12,Loyal,,Daniel,Johnson,1973-03-04 13:26:24,Single,Male,daniel18@adventure-works.com,33000.0,3,0,High School,Skilled Manual,N,2023-12-28,1-2 Miles,53
11052,7,584,8944.452,2,4,5,11,Big Spenders,,Heidi,Lopez,1973-03-08 00:57:36,Single,Female,heidi19@adventure-works.com,44000.0,2,0,Partial College,Clerical,N,2021-02-15,5-10 Miles,53
11053,2,714,2562.978,1,1,4,6,Big Spenders,,Ana,Price,2006-11-13 00:00:00,Married,Female,ana0@adventure-works.com,66000.0,0,0,Partial College,Skilled Manual,N,2023-01-16,1-2 Miles,19
11054,6,581,9045.322,2,4,5,11,Big Spenders,,Deanna,Munoz,1973-11-13 14:24:00,Married,Female,deanna33@adventure-works.com,44000.0,2,0,Partial College,Skilled Manual,Y,2021-02-01,5-10 Miles,52
11055,8,573,8984.811,2,4,5,11,Big Spenders,,Gilbert,Raje,1973-11-07 19:12:00,Married,Male,gilbert35@adventure-works.com,44000.0,2,0,Partial College,Skilled Manual,Y,2021-01-29,5-10 Miles,52
11056,8,580,9028.25,2,4,5,11,Big Spenders,,Michele,Nath,1975-02-07 20:09:36,Married,Female,michele19@adventure-works.com,44000.0,3,0,Partial College,Skilled Manual,Y,2021-02-24,5-10 Miles,51
11057,4,590,8896.844000000001,2,3,5,10,Big Spenders,,Carl,Andersen,1988-06-17 19:12:00,Married,Male,carl12@adventure-works.com,77000.0,2,0,Graduate Degree,Management,Y,2021-02-20,1-2 Miles,38
11058,6,576,9072.822,2,4,5,11,Big Spenders,,Marc,Diaz,1982-09-18 04:48:00,Married,Male,marc6@adventure-works.com,88000.0,2,0,Partial College,Skilled Manual,Y,2021-03-07,1-2 Miles,43
11059,7,656,128.62300000000002,1,4,3,8,Others,,Ashlee,Andersen,1976-04-03 22:04:48,Single,Female,ashlee19@adventure-works.com,88000.0,2,0,Partial College,Skilled Manual,Y,2023-02-17,5-10 Miles,50
11060,6,555,8968.322,2,4,5,11,Big Spenders,,Jon,Zhou,1976-03-17 12:28:48,Married,Male,jon28@adventure-works.com,88000.0,2,0,Partial College,Skilled Manual,Y,2021-03-17,5-10 Miles,50
11061,6,566,8941.922,2,4,5,11,Big Spenders,,Todd,Gao,1995-04-11 00:00:00,Married,Male,todd14@adventure-works.com,88000.0,2,0,Partial College,Skilled Manual,Y,2021-03-11,5-10 Miles,31
11062,3,724,2587.156,1,2,4,7,Big Spenders,,Noah,Powell,2001-02-07 18:14:24,Married,Male,noah5@adventure-works.com,44000.0,0,0,High School,Skilled Manual,Y,2023-01-06,5-10 Miles,25
11063,5,719,2610.245,1,4,4,9,Big Spenders,,Angela,Murphy,2000-08-20 01:55:12,Single,Female,angela41@adventure-works.com,44000.0,0,0,High School,Skilled Manual,Y,2023-01-11,5-10 Miles,25
11064,2,706,2535.478,1,1,4,6,Big Spenders,,Chase,Reed,2001-05-30 02:52:48,Married,Male,chase21@adventure-works.com,44000.0,0,0,High School,Skilled Manual,Y,2023-01-24,5-10 Miles,25
11065,5,356,222.827,5,4,3,12,Loyal,,Jessica,Henderson,1998-11-26 21:07:12,Married,Female,jessica29@adventure-works.com,66000.0,0,0,Partial College,Skilled Manual,N,2023-02-09,1-2 Miles,27
11066,5,469,89.386,4,4,2,10,Loyal,,Grace,Butler,1999-01-22 17:16:48,Married,Female,grace62@adventure-works.com,77000.0,0,0,Partial College,Professional,Y,2023-05-30,5-10 Miles,27
11067,6,354,116.32500000000002,5,4,3,12,Loyal,,Caleb,Carter,2002-05-05 00:00:00,Single,Male,caleb40@adventure-works.com,66000.0,0,0,Partial College,Professional,Y,2023-08-17,5-10 Miles,24
11068,9,450,124.696,4,4,3,11,Loyal,,Tiffany,Liang,1984-05-06 10:33:36,Single,Female,tiffany17@adventure-works.com,88000.0,2,0,High School,Skilled Manual,Y,2023-04-29,5-10 Miles,42
11069,3,576,8914.455,2,2,5,9,Big Spenders,,Carolyn,Navarro,1984-05-04 02:52:48,Single,Female,carolyn30@adventure-works.com,88000.0,2,0,High School,Skilled Manual,N,2021-04-15,1-2 Miles,42
11070,10,554,8982.105000000001,2,4,5,11,Big Spenders,,Willie,Raji,1977-06-05 23:02:24,Married,Male,willie40@adventure-works.com,88000.0,2,0,High School,Skilled Manual,Y,2021-04-26,5-10 Miles,49
11071,7,396,121.25300000000001,5,4,3,12,Loyal,,Linda,Serrano,1977-09-09 01:55:12,Single,Female,linda31@adventure-works.com,88000.0,2,0,High School,Skilled Manual,Y,2023-02-28,5-10 Miles,48
11072,7,565,9013.4,2,4,5,11,Big Spenders,,Casey,Luo,1977-03-30 16:19:12,Single,Female,casey6@adventure-works.com,88000.0,2,0,High School,Skilled Manual,N,2021-03-29,1-2 Miles,49
11073,10,498,211.09000000000003,3,4,3,10,Others,,Amy,Ye,1979-01-03 11:31:12,Single,Female,amy16@adventure-works.com,77000.0,2,0,High School,Skilled Manual,Y,2023-03-22,5-10 Miles,47
11074,7,584,103.60900000000001,2,4,3,9,Others,,Levi,Arun,1979-01-19 17:16:48,Single,Male,levi6@adventure-works.com,77000.0,2,0,High School,Skilled Manual,Y,2023-03-22,5-10 Miles,47
11075,5,556,8874.833,2,4,5,11,Big Spenders,,Felicia,Jimenez,1980-06-18 22:04:48,Single,Female,felicia4@adventure-works.com,88000.0,2,0,High School,Professional,Y,2021-04-26,5-10 Miles,46
11076,4,559,8974.944,2,3,5,10,Big Spenders,,Blake,Anderson,1980-01-24 18:14:24,Single,Male,blake9@adventure-works.com,88000.0,2,0,High School,Professional,Y,2021-04-19,5-10 Miles,46
11077,5,568,8985.933,2,4,5,11,Big Spenders,,Leah,Ye,1980-04-12 15:21:36,Single,Female,leah7@adventure-works.com,88000.0,2,0,High School,Professional,N,2021-04-13,1-2 Miles,46
11078,31,338,1004.597,5,4,3,12,Loyal,,Gina,Martin,2005-07-28 21:07:12,Single,Female,gina1@adventure-works.com,44000.0,0,0,High School,Professional,N,2023-02-14,1-2 Miles,21
11079,5,365,63.745000000000005,5,4,2,11,Loyal,,Donald,Gonzalez,1988-05-12 20:09:36,Single,Male,donald20@adventure-works.com,176000.0,0,0,Graduate Degree,Management,Y,2023-03-14,0-1 Miles,38
11080,7,557,9024.422,2,4,5,11,Big Spenders,,Damien,Chander,1982-05-25 04:48:00,Married,Male,damien32@adventure-works.com,187000.00000000003,0,0,Graduate Degree,Management,Y,2021-04-08,0-1 Miles,44
11081,5,628,114.686,1,4,3,8,Others,,Savannah,Baker,1990-07-16 10:33:36,Married,Female,savannah39@adventure-works.com,132000.0,2,2,Bachelors,Management,Y,2023-02-11,2-5 Miles,36
11082,6,421,3421.891,4,4,4,12,Most Valuable,,Angela,Butler,1990-07-29 04:48:00,Single,Female,angela17@adventure-works.com,143000.0,0,1,Graduate Degree,Management,N,2023-01-21,1-2 Miles,36
11083,5,419,3451.052,4,4,4,12,Most Valuable,,Alyssa,Cox,1996-06-30 14:24:00,Married,Female,alyssa37@adventure-works.com,143000.0,0,1,Graduate Degree,Management,Y,2023-01-05,1-2 Miles,30
11084,5,406,3386.471,5,4,4,13,Most Valuable,,Lucas,Phillips,1980-04-04 12:28:48,Single,Male,lucas7@adventure-works.com,88000.0,2,0,Partial High School,Skilled Manual,N,2023-01-03,1-2 Miles,46
11085,5,358,141.85600000000002,5,4,3,12,Loyal,,Emily,Johnson,1980-01-31 17:16:48,Single,Female,emily1@adventure-works.com,66000.0,2,0,High School,Professional,N,2023-12-05,5-10 Miles,46
11086,6,376,168.79500000000002,5,4,3,12,Loyal,,Ryan,Brown,1980-07-31 20:09:36,Married,Male,ryan43@adventure-works.com,77000.0,2,1,Partial College,Professional,Y,2023-07-01,0-1 Miles,46
11087,4,510,220.30800000000002,3,3,3,9,Others,,Tamara,Liang,1980-04-28 21:07:12,Married,Female,tamara6@adventure-works.com,77000.0,3,2,Partial College,Professional,N,2023-02-24,0-1 Miles,46
11088,7,415,3494.458,4,4,4,12,Most Valuable,,Hunter,Davis,1980-06-29 08:38:24,Married,Male,hunter64@adventure-works.com,88000.0,2,1,Bachelors,Management,Y,2023-01-12,2-5 Miles,46
11089,7,409,3507.108,5,4,4,13,Most Valuable,,Abigail,Price,1979-07-25 11:31:12,Single,Female,abigail25@adventure-works.com,88000.0,2,1,Bachelors,Management,Y,2022-12-28,2-5 Miles,47
11090,6,406,7374.488,5,4,5,14,Most Valuable,,Trevor,Bryant,1986-12-09 00:00:00,Single,Male,trevor18@adventure-works.com,99000.00000000001,2,0,Partial College,Professional,Y,2021-08-05,2-5 Miles,39
11091,59,358,1308.2630000000001,5,4,4,13,Most Valuable,,Dalton,Perez,1979-09-30 18:14:24,Married,Male,dalton37@adventure-works.com,99000.00000000001,2,0,Partial College,Professional,Y,2023-01-28,5-10 Miles,46
11092,5,559,8921.022,2,4,5,11,Big Spenders,,Cheryl,Diaz,1991-06-13 04:48:00,Married,Female,cheryl4@adventure-works.com,99000.00000000001,2,2,Bachelors,Professional,Y,2021-04-06,1-2 Miles,35
11093,7,572,8998.0,2,4,5,11,Big Spenders,,Aimee,He,1998-03-23 15:21:36,Married,Female,aimee13@adventure-works.com,110000.00000000001,0,0,Graduate Degree,Management,Y,2021-04-05,0-1 Miles,28
11094,8,355,259.47900000000004,5,4,3,12,Loyal,,Cedric,Ma,1985-07-15 10:33:36,Single,Male,cedric15@adventure-works.com,77000.0,1,0,Partial College,Skilled Manual,N,2023-04-06,0-1 Miles,41
11095,7,555,8973.811,2,4,5,11,Big Spenders,,Chad,Kumar,1986-01-08 22:04:48,Single,Male,chad9@adventure-works.com,77000.0,1,0,Partial College,Skilled Manual,Y,2021-03-30,5-10 Miles,40
11096,4,520,8869.344000000001,3,3,5,11,Big Spenders,,Andrés,Anand,1985-12-14 09:36:00,Married,Male,andrés18@adventure-works.com,66000.0,1,0,Bachelors,Professional,Y,2021-04-09,5-10 Miles,40
11097,5,526,8908.933,3,4,5,12,Big Spenders,,Edwin,Nara,1991-06-01 14:24:00,Married,Male,edwin39@adventure-works.com,66000.0,1,0,Partial College,Skilled Manual,Y,2021-04-02,5-10 Miles,35
11098,4,442,97.85600000000001,4,3,2,9,Others,,Mallory,Rubio,1984-06-21 20:09:36,Single,Female,mallory7@adventure-works.com,66000.0,1,0,Partial College,Skilled Manual,N,2023-02-10,0-1 Miles,42
11099,9,549,9037.589,2,4,5,11,Big Spenders,,Adam,Ross,1984-04-20 04:48:00,Married,Male,adam2@adventure-works.com,66000.0,1,0,Bachelors,Professional,Y,2021-04-05,0-1 Miles,42
11100,7,512,8989.761,3,4,5,12,Big Spenders,,Latasha,Navarro,1983-10-01 08:38:24,Single,Female,latasha10@adventure-works.com,66000.0,1,0,Partial College,Skilled Manual,Y,2021-04-14,5-10 Miles,42
11101,7,551,9088.772,2,4,5,11,Big Spenders,,Abby,Sai,1989-02-18 17:16:48,Single,Female,abby4@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-04-27,0-1 Miles,37
11102,5,388,113.20100000000001,5,4,3,12,Loyal,,Julia,Nelson,1989-01-30 00:00:00,Single,Female,julia7@adventure-works.com,88000.0,5,5,Bachelors,Professional,Y,2023-07-15,1-2 Miles,37
11103,8,574,9000.75,2,4,5,11,Big Spenders,,Cassie,Chande,2001-03-28 11:31:12,Single,Female,cassie13@adventure-works.com,77000.0,0,0,Bachelors,Professional,Y,2021-04-13,5-10 Miles,25
11104,6,565,8990.333,2,4,5,11,Big Spenders,,Edgar,Sara,1994-03-02 03:50:24,Married,Male,edgar11@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-05-02,0-1 Miles,32
11105,5,575,8905.589,2,4,5,11,Big Spenders,,Candace,Fernandez,1988-09-19 18:14:24,Single,Female,candace15@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-05-12,5-10 Miles,37
11106,3,565,8886.955,2,2,5,9,Big Spenders,,Jessie,Liu,1988-05-17 11:31:12,Single,Male,jessie9@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-05-16,5-10 Miles,38
11107,6,559,8988.111,2,4,5,11,Big Spenders,,Bianca,Lin,1995-04-26 01:55:12,Married,Female,bianca7@adventure-works.com,99000.00000000001,1,0,Bachelors,Professional,Y,2021-04-29,5-10 Miles,31
11108,5,557,8936.444,2,4,5,11,Big Spenders,,Kari,Alvarez,1987-01-10 11:31:12,Single,Female,kari25@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-05-01,0-1 Miles,39
11109,8,556,9069.511,2,4,5,11,Big Spenders,,Ruben,Kapoor,2000-02-19 23:02:24,Single,Male,ruben1@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-05-08,0-1 Miles,26
11110,5,499,8902.333,3,4,5,12,Big Spenders,,Curtis,Yang,1985-09-30 00:00:00,Married,Male,curtis5@adventure-works.com,66000.0,1,0,Partial College,Skilled Manual,Y,2021-04-29,5-10 Miles,40
11111,8,497,8950.7,3,4,5,12,Big Spenders,,Meredith,Gutierrez,1985-06-02 12:28:48,Married,Female,meredith34@adventure-works.com,66000.0,1,0,Partial College,Skilled Manual,Y,2021-05-18,0-1 Miles,41
11112,6,486,9124.522,3,4,5,12,Big Spenders,,Crystal,Wang,1986-01-18 04:48:00,Married,Female,crystal3@adventure-works.com,66000.0,1,0,Partial College,Skilled Manual,Y,2021-05-23,0-1 Miles,40
11113,7,620,120.86800000000001,2,4,3,9,Others,,Micheal,Blanco,1991-10-15 07:40:48,Married,Male,micheal11@adventure-works.com,77000.0,5,4,Bachelors,Professional,Y,2023-01-31,5-10 Miles,34
11114,7,371,135.179,5,4,3,12,Loyal,,Leslie,Moreno,1985-09-19 13:26:24,Single,Female,leslie7@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2023-03-17,5-10 Miles,40
11115,6,364,125.08100000000002,5,4,3,12,Loyal,,Alvin,Cai,1985-05-20 18:14:24,Married,Male,alvin20@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2023-02-09,0-1 Miles,41
11116,7,442,163.57000000000002,4,4,3,11,Loyal,,Clinton,Carlson,1998-11-19 22:04:48,Married,Male,clinton14@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2023-03-14,5-10 Miles,27
11117,8,555,9003.489,2,4,5,11,Big Spenders,,April,Deng,1984-04-02 19:12:00,Married,Female,april1@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2021-05-04,10+ Miles,42
11118,8,340,136.18,5,4,3,12,Loyal,,Alvin,Zeng,1980-01-13 03:50:24,Single,Male,alvin21@adventure-works.com,88000.0,1,0,Partial College,Skilled Manual,N,2023-07-09,0-1 Miles,46
11119,4,404,93.742,5,3,2,10,Others,,Evan,James,1954-03-30 23:02:24,Single,Male,evan8@adventure-works.com,33000.0,2,0,Partial College,Clerical,N,2023-02-02,0-1 Miles,72
11120,10,469,9066.739,4,4,5,13,Most Valuable,,Beth,Jiménez,1955-10-16 21:07:12,Single,Female,beth8@adventure-works.com,44000.0,2,0,Bachelors,Management,Y,2021-05-12,5-10 Miles,70
11121,6,423,63.976000000000006,4,4,2,10,Loyal,,Orlando,Suarez,1983-12-14 14:24:00,Married,Male,orlando19@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2023-06-23,10+ Miles,42
11122,3,497,47.223,3,2,2,7,At Risk,,Byron,Vazquez,1983-03-22 19:12:00,Married,Male,byron9@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2023-02-20,5-10 Miles,43
11123,8,341,164.824,5,4,3,12,Loyal,,Philip,Alvarez,1983-06-22 10:33:36,Married,Male,philip4@adventure-works.com,77000.0,5,4,Partial College,Skilled Manual,Y,2023-04-16,10+ Miles,43
11124,6,562,8941.922,2,4,5,11,Big Spenders,,Ross,Jordan,1986-06-26 02:52:48,Single,Male,ross1@adventure-works.com,88000.0,1,0,Partial College,Skilled Manual,Y,2021-05-03,5-10 Miles,40
